zone,feature_set,fold,dataset_split,sample,model,rmse,mae,r2
NO_1,autoregressive,final_test,test,all,lgbm,10.299969438427556,5.661104656929295,0.8868140025374394
NO_1,autoregressive,final_test,test,all,xgb,10.173729931427571,5.752515971642309,0.8895714829873804
NO_1,autoregressive,final_test,test,spike_hours,lgbm,35.42147524838336,26.36499312262803,0.32373430436610295
NO_1,autoregressive,final_test,test,spike_hours,xgb,33.221642622549155,23.380960914541824,0.4051242406428902
NO_1,autoregressive,fold_1,validation,all,lgbm,4.814257122649139,2.2510334414022726,0.8801193752165827
NO_1,autoregressive,fold_1,validation,all,xgb,4.801126153707455,2.2534292500036557,0.8807724363065117
NO_1,autoregressive,fold_2,validation,all,lgbm,16.419030776109775,5.6485929523394045,0.8454731268841681
NO_1,autoregressive,fold_2,validation,all,xgb,15.585300831431425,5.575629803582054,0.8607679037181591
NO_1,autoregressive,fold_2,validation,spike_hours,lgbm,75.52503520399554,47.587330438987564,0.31694120882884325
NO_1,autoregressive,fold_2,validation,spike_hours,xgb,70.61189049370294,42.52307821514963,0.4029208711537593
NO_1,autoregressive,fold_3,validation,all,lgbm,14.352425815568626,7.124092614483006,0.8795262977893726
NO_1,autoregressive,fold_3,validation,all,xgb,13.766176109266523,6.922539787301315,0.8891672070799871
NO_1,autoregressive,fold_3,validation,spike_hours,lgbm,37.560955898293116,26.34151538383384,0.2605413134364686
NO_1,autoregressive,fold_3,validation,spike_hours,xgb,36.34142495882104,24.160932964045827,0.3077793562482164
NO_1,autoregressive,fold_4,validation,all,lgbm,10.351771302625897,6.072231246017446,0.8341061032780651
NO_1,autoregressive,fold_4,validation,all,xgb,10.309277172883183,6.0490671664773865,0.8354653001526928
NO_1,autoregressive,fold_4,validation,spike_hours,lgbm,55.69973553808385,43.23914916524526,-2.719083339136695
NO_1,autoregressive,fold_4,validation,spike_hours,xgb,53.178343782138576,39.84604045574482,-2.3899965687350404
NO_1,exogenous,final_test,test,all,lgbm,27.621531451331578,21.83728173955243,0.1860151191967886
NO_1,exogenous,final_test,test,all,xgb,27.12592915223574,21.38348293128221,0.21496308976648426
NO_1,exogenous,final_test,test,spike_hours,lgbm,96.23257882156386,87.81041136695964,-3.9914682876246568
NO_1,exogenous,final_test,test,spike_hours,xgb,96.57741263603101,88.32897356225813,-4.027304611233545
NO_1,exogenous,fold_1,validation,all,lgbm,21.37519338175698,16.90301781903888,-1.3632547498852814
NO_1,exogenous,fold_1,validation,all,xgb,22.083978481305675,17.84547608530417,-1.5225806790292635
NO_1,exogenous,fold_2,validation,all,lgbm,44.08800041717723,34.3882941887814,-0.1141657068335542
NO_1,exogenous,fold_2,validation,all,xgb,44.755694033744945,35.03786796824656,-0.14816836088318208
NO_1,exogenous,fold_2,validation,spike_hours,lgbm,116.08173428100393,81.0031558856763,-0.6136301068309906
NO_1,exogenous,fold_2,validation,spike_hours,xgb,115.03167397477078,79.17348901156721,-0.58456876943906
NO_1,exogenous,fold_3,validation,all,lgbm,34.02710966973583,24.087503923557428,0.32283928214430824
NO_1,exogenous,fold_3,validation,all,xgb,33.43051623949344,24.307773037796057,0.346376284686826
NO_1,exogenous,fold_3,validation,spike_hours,lgbm,78.2095989609593,62.64660443092584,-2.205979643981015
NO_1,exogenous,fold_3,validation,spike_hours,xgb,76.51926602692933,58.97836340629764,-2.068896443401457
NO_1,exogenous,fold_4,validation,all,lgbm,21.03228340957221,15.046832516135046,0.31518396388396364
NO_1,exogenous,fold_4,validation,all,xgb,20.72968997482669,14.445874045882034,0.3347472399888074
NO_1,exogenous,fold_4,validation,spike_hours,lgbm,88.12188639250161,82.25484083428289,-8.308875346386513
NO_1,exogenous,fold_4,validation,spike_hours,xgb,87.726442063675,82.32476328923153,-8.225516203575902
NO_1,full,final_test,test,all,lgbm,10.365313501021788,6.169500795498358,0.8853733199134735
NO_1,full,final_test,test,all,xgb,11.041231664443412,6.884125046865369,0.8699363687986864
NO_1,full,final_test,test,spike_hours,lgbm,37.02346773900615,27.974061502934212,0.261180659662954
NO_1,full,final_test,test,spike_hours,xgb,39.048079136403935,29.00939571275623,0.1781672995763045
NO_1,full,fold_1,validation,all,lgbm,4.716654286137916,2.3476853378002756,0.884930950734166
NO_1,full,fold_1,validation,all,xgb,4.942456036877207,2.5519965519410546,0.8736497619797075
NO_1,full,fold_2,validation,all,lgbm,18.4096930538417,5.614182280361909,0.8057316382115243
NO_1,full,fold_2,validation,all,xgb,18.088772243161255,6.252202501647374,0.8124456402206446
NO_1,full,fold_2,validation,spike_hours,lgbm,87.33319224416694,53.38242802646386,0.08665494364506421
NO_1,full,fold_2,validation,spike_hours,xgb,84.177215543605,51.972807618941395,0.15147366807487062
NO_1,full,fold_3,validation,all,lgbm,13.741338085786088,6.870340796269268,0.8895667928502832
NO_1,full,fold_3,validation,all,xgb,13.887543687519047,6.743196416221431,0.8872043084167326
NO_1,full,fold_3,validation,spike_hours,lgbm,36.15869093872218,24.298547487236203,0.31472318100909047
NO_1,full,fold_3,validation,spike_hours,xgb,36.553794638215216,22.942192344107283,0.2996654085741548
NO_1,full,fold_4,validation,all,lgbm,10.792219066111212,6.537715580209555,0.8196888531767763
