,na_fraction
"NO_2__gen_'Wind_Offshore',_'Actual_Consumption'_mw",0.9999788054766648
NO_1__ws_forecast_Wind_Offshore_mw,0.9959306515196473
NO_4__ws_forecast_Wind_Offshore_mw,0.9959306515196473
NO_5__ws_forecast_Wind_Offshore_mw,0.9959306515196473
NO_3__ws_forecast_Wind_Offshore_mw,0.9959306515196473
"NO_3__gen_'Hydro_Pumped_Storage',_'Actual_Consumption'_mw",0.9636090034335127
"NO_5__gen_'Hydro_Pumped_Storage',_'Actual_Consumption'_mw",0.9619558306133695
"NO_2__gen_'Hydro_Pumped_Storage',_'Actual_Consumption'_mw",0.9270696452036794
"NO_3__gen_'Solar',_'Actual_Aggregated'_mw",0.8025518206095545
NO_2__ws_forecast_Wind_Offshore_mw,0.7659276842863804
"NO_2__gen_'Wind_Offshore',_'Actual_Aggregated'_mw",0.739476919164088
NO_3__gen_Biomass_mw,0.694777669450214
NO_2__gen_Wind_Onshore_mw,0.6281632826077741
NO_2__gen_Waste_mw,0.6281632826077741
NO_2__gen_Hydro_Run_of_river_and_poundage_mw,0.6281632826077741
NO_2__gen_Hydro_Pumped_Storage_mw,0.6281632826077741
NO_2__gen_Hydro_Water_Reservoir_mw,0.6281632826077741
NO_2__gen_Fossil_Gas_mw,0.6281632826077741
NO_3__gen_Hydro_Pumped_Storage_mw,0.6281632826077741
NO_3__gen_Hydro_Run_of_river_and_poundage_mw,0.6281632826077741
NO_3__gen_Other_renewable_mw,0.6281632826077741
NO_5__gen_Fossil_Gas_mw,0.6281632826077741
NO_5__gen_Hydro_Water_Reservoir_mw,0.6281632826077741
NO_3__gen_Hydro_Water_Reservoir_mw,0.6281632826077741
NO_3__gen_Waste_mw,0.6281632826077741
NO_3__gen_Wind_Onshore_mw,0.6281632826077741
NO_3__gen_Other_mw,0.6281632826077741
NO_5__gen_Waste_mw,0.6281632826077741
NO_5__gen_Hydro_Run_of_river_and_poundage_mw,0.6281632826077741
NO_5__gen_Hydro_Pumped_Storage_mw,0.6281632826077741
"NO_2__gen_'Hydro_Pumped_Storage',_'Actual_Aggregated'_mw",0.4814124030350557
"NO_5__gen_'Hydro_Pumped_Storage',_'Actual_Aggregated'_mw",0.4465262176253656
"NO_3__gen_'Hydro_Pumped_Storage',_'Actual_Aggregated'_mw",0.44487304480522233
NO_5__outage_event_count,0.4424992581916833
NO_5__outage_unavailable_mw,0.4424992581916833
NO_4__outage_event_count,0.4424992581916833
NO_1__outage_event_count,0.4424992581916833
NO_2__outage_event_count,0.4424992581916833
NO_2__outage_unavailable_mw,0.4424992581916833
NO_1__outage_unavailable_mw,0.4424992581916833
NO_4__outage_unavailable_mw,0.4424992581916833
"NO_3__gen_'Other_renewable',_'Actual_Aggregated'_mw",0.40848204823873513
"NO_2__gen_'Waste',_'Actual_Aggregated'_mw",0.40848204823873513
"NO_2__gen_'Wind_Onshore',_'Actual_Aggregated'_mw",0.40848204823873513
"NO_2__gen_'Hydro_Run_of_river_and_poundage',_'Actual_Aggregated'_mw",0.40848204823873513
"NO_3__gen_'Hydro_Run_of_river_and_poundage',_'Actual_Aggregated'_mw",0.40848204823873513
"NO_3__gen_'Waste',_'Actual_Aggregated'_mw",0.40848204823873513
"NO_3__gen_'Wind_Onshore',_'Actual_Aggregated'_mw",0.40848204823873513
"NO_2__gen_'Fossil_Gas',_'Actual_Aggregated'_mw",0.40848204823873513
"NO_2__gen_'Hydro_Water_Reservoir',_'Actual_Aggregated'_mw",0.40848204823873513
"NO_5__gen_'Hydro_Run_of_river_and_poundage',_'Actual_Aggregated'_mw",0.40848204823873513
"NO_5__gen_'Fossil_Gas',_'Actual_Aggregated'_mw",0.40848204823873513
"NO_5__gen_'Hydro_Water_Reservoir',_'Actual_Aggregated'_mw",0.40848204823873513
"NO_5__gen_'Waste',_'Actual_Aggregated'_mw",0.40848204823873513
"NO_3__gen_'Other',_'Actual_Aggregated'_mw",0.40848204823873513
"NO_3__gen_'Hydro_Water_Reservoir',_'Actual_Aggregated'_mw",0.40848204823873513
"NO_3__gen_'Biomass',_'Actual_Aggregated'_mw",0.40848204823873513
NO_4__price_eur_mwh,0.30208554109618074
NO_3__price_eur_mwh,0.30208554109618074
NO_5__price_eur_mwh,0.30208554109618074
NO_2__price_eur_mwh,0.30208554109618074
NO_1__price_eur_mwh,0.30208554109618074
NO_3__flow_NO_3_to_SE_2_mw,0.2991183078292569
NO_1__flow_NO_1_to_SE_3_mw,0.2991183078292569
NO_4__flow_NO_4_to_SE_1_mw,0.2991183078292569
NO_4__flow_NO_4_to_SE_2_mw,0.2991183078292569
NO_1__gen_Solar_mw,0.28688906786486373
NO_4__gen_Hydro_Water_Reservoir_mw,0.03664533084650926
NO_1__gen_Wind_Onshore_mw,0.03664533084650926
NO_1__gen_Hydro_Water_Reservoir_mw,0.03664533084650926
NO_1__gen_Waste_mw,0.03664533084650926
NO_1__gen_Biomass_mw,0.03664533084650926
NO_1__gen_Hydro_Run_of_river_and_poundage_mw,0.03664533084650926
NO_1__gen_Fossil_Gas_mw,0.03664533084650926
NO_4__gen_Wind_Onshore_mw,0.03664533084650926
NO_4__gen_Other_renewable_mw,0.03664533084650926
NO_4__gen_Hydro_Run_of_river_and_poundage_mw,0.03664533084650926
NO_4__gen_Fossil_Gas_mw,0.03664533084650926
NO_2__flow_NO_2_to_DK_1_mw,0.033593319486244756
NO_1__load_mw,0.001547200203467424
NO_3__load_forecast_mw,0.001547200203467424
NO_3__load_mw,0.001547200203467424
NO_5__load_mw,0.001547200203467424
NO_5__load_forecast_mw,0.001547200203467424
NO_4__load_forecast_mw,0.001547200203467424
NO_1__load_forecast_mw,0.001547200203467424
NO_2__load_mw,0.001547200203467424
NO_2__load_forecast_mw,0.001547200203467424
NO_4__load_mw,0.001547200203467424
NO_2__flow_NO_2_to_NO_5_mw,2.1194523335170193e-05
NO_1__ws_forecast_Solar_mw,2.1194523335170193e-05
NO_1__flow_NO_1_to_NO_2_mw,2.1194523335170193e-05
NO_1__ws_forecast_Wind_Onshore_mw,2.1194523335170193e-05
NO_2__flow_NO_2_to_NL_mw,2.1194523335170193e-05
NO_2__ws_forecast_Solar_mw,2.1194523335170193e-05
NO_2__ws_forecast_Wind_Onshore_mw,2.1194523335170193e-05
NO_1__flow_NO_1_to_NO_3_mw,2.1194523335170193e-05
NO_1__flow_NO_1_to_NO_5_mw,2.1194523335170193e-05
NO_2__flow_NO_2_to_GB_mw,2.1194523335170193e-05
NO_2__flow_NO_1_to_NO_2_mw,2.1194523335170193e-05
NO_3__ws_forecast_Wind_Onshore_mw,2.1194523335170193e-05
NO_3__ws_forecast_Solar_mw,2.1194523335170193e-05
NO_3__flow_NO_3_to_NO_5_mw,2.1194523335170193e-05
NO_3__flow_NO_1_to_NO_3_mw,2.1194523335170193e-05
NO_3__flow_NO_3_to_NO_4_mw,2.1194523335170193e-05
NO_4__flow_NO_3_to_NO_4_mw,2.1194523335170193e-05
NO_4__flow_NO_4_to_FI_mw,2.1194523335170193e-05
NO_4__ws_forecast_Solar_mw,2.1194523335170193e-05
NO_4__ws_forecast_Wind_Onshore_mw,2.1194523335170193e-05
NO_5__ws_forecast_Wind_Onshore_mw,2.1194523335170193e-05
NO_5__ws_forecast_Solar_mw,2.1194523335170193e-05
NO_5__flow_NO_1_to_NO_5_mw,2.1194523335170193e-05
NO_5__flow_NO_2_to_NO_5_mw,2.1194523335170193e-05
NO_5__flow_NO_3_to_NO_5_mw,2.1194523335170193e-05
