feature,mean_abs_shap,zone,feature_set
price_eur_mwh_lag_1,25.997222124406,NO_1,autoregressive
price_eur_mwh_roll_mean_3,4.712318381685258,NO_1,autoregressive
price_eur_mwh_lag_2,3.2510129976611437,NO_1,autoregressive
hour,2.818977986134501,NO_1,autoregressive
price_eur_mwh_roll_mean_24,1.5986165019250669,NO_1,autoregressive
price_eur_mwh_lag_3,1.535841417493768,NO_1,autoregressive
price_eur_mwh_lag_24,0.8487561637340106,NO_1,autoregressive
price_eur_mwh_roll_mean_12,0.8078015670966829,NO_1,autoregressive
month,0.616064669120074,NO_1,autoregressive
price_eur_mwh_roll_std_12,0.5962353859764733,NO_1,autoregressive
price_eur_mwh_roll_mean_72,0.5765390649094384,NO_1,autoregressive
day_of_week,0.5745980234371049,NO_1,autoregressive
price_eur_mwh_roll_std_3,0.5625380348607324,NO_1,autoregressive
price_eur_mwh_roll_mean_6,0.554354511509774,NO_1,autoregressive
price_eur_mwh_lag_48,0.5020684759264258,NO_1,autoregressive
price_eur_mwh_lag_168,0.434261533175193,NO_1,autoregressive
price_eur_mwh_roll_std_6,0.376836980808324,NO_1,autoregressive
price_eur_mwh_roll_std_24,0.37551613317403,NO_1,autoregressive
price_eur_mwh_roll_std_72,0.3581551412225142,NO_1,autoregressive
price_eur_mwh_roll_mean_168,0.3069690469132734,NO_1,autoregressive
price_eur_mwh_roll_std_168,0.2683374649018154,NO_1,autoregressive
is_weekend,0.0678483245539425,NO_1,autoregressive
NO_4__gen_renewable_mw_lag_1,4.485537114881881,NO_1,exogenous
NO_4__gen_total_mw_lag_1,2.806313541826196,NO_1,exogenous
NO_2__gen_renewable_mw_lag_1,2.797672166875957,NO_1,exogenous
NO_4__outage_unavailable_mw_lag_168,2.18270133179583,NO_1,exogenous
gen_Hydro_Water_Reservoir_share_lag_1,1.9137073335290284,NO_1,exogenous
NO_4__gen_renewable_share_lag_1,1.7797892060546436,NO_1,exogenous
NO_3__gen_renewable_share_lag_1,1.6768560341499623,NO_1,exogenous
NO_2__load_forecast_mw,1.5526824697607169,NO_1,exogenous
NO_5__outage_event_count_roll_mean_168,1.5018402905807289,NO_1,exogenous
NO_3__gen_Hydro_Run_of_river_and_poundage_mw_lag_1,1.4224958099309386,NO_1,exogenous
gen_renewable_share_lag_1,1.4025616799796885,NO_1,exogenous
NO_2__gen_total_mw_lag_1,1.3384130295528185,NO_1,exogenous
NO_2__flow_NO_2_to_GB_mw_lag_1,1.2751939309843927,NO_1,exogenous
NO_5__gen_Hydro_Run_of_river_and_poundage_share_lag_1,1.1144493615828335,NO_1,exogenous
gen_Hydro_Run_of_river_and_poundage_mw_lag_1,1.0862726556536635,NO_1,exogenous
NO_2__gen_Hydro_Pumped_Storage_mw_lag_1,1.0494682247391063,NO_1,exogenous
NO_2__flow_NO_2_to_NL_mw_lag_1,0.927156744161657,NO_1,exogenous
NO_5__flow_total_mw_lag_1,0.9265301657643235,NO_1,exogenous
NO_5__gen_total_mw_lag_1,0.920102834817915,NO_1,exogenous
load_mw_roll_std_6,0.912182569007454,NO_1,exogenous
load_mw_roll_std_3,0.9051050879806243,NO_1,exogenous
NO_2__gen_Hydro_Water_Reservoir_mw_lag_1,0.888019413415963,NO_1,exogenous
NO_4__gen_Hydro_Run_of_river_and_poundage_mw_lag_1,0.8465460737978359,NO_1,exogenous
NO_5__load_mw_lag_168,0.8072141445505087,NO_1,exogenous
NO_2__load_mw_roll_mean_168,0.7938431858012134,NO_1,exogenous
NO_2__gas_price_eur_mwh_lag_1,0.7766413808329947,NO_1,exogenous
NO_4__load_mw_roll_mean_168,0.7672634952227871,NO_1,exogenous
NO_2__load_mw_lag_168,0.7248265763349626,NO_1,exogenous
NO_3__load_forecast_mw,0.71601622462399,NO_1,exogenous
NO_5__outage_unavailable_mw_roll_mean_168,0.7101766095600589,NO_1,exogenous
NO_2__gen_Hydro_Water_Reservoir_share_lag_1,0.6977818406509929,NO_1,exogenous
NO_5__gen_Hydro_Pumped_Storage_mw_lag_1,0.5851641718408318,NO_1,exogenous
NO_2__gas_price_eur_mwh_roll_mean_168,0.5762387012969583,NO_1,exogenous
flow_NO_1_to_SE_3_mw_lag_1,0.5740530467830042,NO_1,exogenous
NO_2__outage_event_count_roll_mean_168,0.5661124673389202,NO_1,exogenous
NO_4__outage_unavailable_mw_roll_mean_168,0.5395896725535753,NO_1,exogenous
NO_2__ws_forecast_Wind_Onshore_mw,0.5331129625883902,NO_1,exogenous
